,artist_name,track_name,track_id,popularity,explicit,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,La La Land Cast,"Another Day Of Sun - From ""La La Land"" Soundtrack",0zCfmceT1YvtZXGbR6Roht,8,False,0.018,0.584,228173,0.752,3.73e-06,8,0.647,-6.689,1,0.058,125.797,4,0.791
1,John Legend,Start A Fire,3gGHAScxUDsJqcAM6ZvjuH,5,False,0.0834,0.543,192093,0.848,0.0,10,0.799,-6.058,0,0.0531,102.009,4,0.29
2,Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P,77,False,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
3,Major Lazer,Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p,19,False,0.0736,0.608,185352,0.798,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501
4,Fort Frances,Summertime,1dzk5fQIYJ3MMmgoRVw2qw,41,False,0.101,0.707,254739,0.594,0.00214,5,0.122,-7.461,1,0.047,88.0,4,0.193
5,Charly H. Fox,Sandrina - Roni Iron Deep & Love Mix,4NuQvFFRjxNDBaCKw0mmS7,17,False,0.0626,0.657,334515,0.508,0.177,11,0.101,-12.564,0,0.0534,117.985,4,0.43
6,Cosmic Cowboys,If You Leave Tonight feat. Lazarusman,4SkOLFr0mWiTNq2a63FEt5,0,False,0.0413,0.795,337782,0.697,0.0344,11,0.0991,-10.042,0,0.102,110.012,4,0.437
7,Jain,Makeba - Dirty Ridin' Remix,7w7xsrmJnKa4H6gM8tsVNf,36,False,0.405,0.835,243973,0.659,0.0513,7,0.0871,-9.195,0,0.257,115.94,4,0.712
8,MarT,Upside Down,4dG2SXv1mX2aie4AK3eUhE,39,False,0.0121,0.789,250125,0.898,0.675,0,0.11,-4.962,1,0.05,120.005,4,0.816
9,D.E.C.A.D.A,Lips Don't Lie - Original Mix,0q2MEPvTVwMEwQhRX0GCIM,24,False,0.0218,0.757,462444,0.679,0.839,2,0.105,-9.878,1,0.0387,124.986,4,0.0471
10,Rationale,Prodigal Son,1x8NrvYavgYuMUQBAQuVq2,33,False,0.377,0.487,221281,0.753,0.00172,1,0.127,-4.815,1,0.093,79.454,4,0.586
11,DJ Tarkan,Herneise - DJ Tarkan Remix,3PG7itXNS1QunOuNT6OYiK,32,False,0.00608,0.731,482727,0.465,0.879,9,0.066,-10.532,0,0.0493,120.998,4,0.419
12,Frey,Hit the Streets - Radio Mix,0EWYWvhObe4kyYEARv5vY3,4,False,0.00259,0.881,196240,0.684,0.00368,4,0.358,-5.129,0,0.0549,120.975,4,0.809
13,Rodrigo Amarante,Tuyo,4hC7fmtx9LmjruoIieWT0m,11,False,0.474,0.72,89293,0.422,0.0847,1,0.155,-13.338,0,0.069,112.219,4,0.546
14,Chris Stapleton,Outlaw State Of Mind,5WFJ17ke5ldHuM0X3J5ddz,58,False,0.0305,0.453,335293,0.713,0.536,0,0.124,-9.494,1,0.0366,116.791,4,0.399
15,Jerry Ropero,Narkos - Club Mix,5nYpbJ00TDwgSBJnzzQi0x,25,False,0.0205,0.621,421564,0.487,0.00754,1,0.104,-8.999,0,0.0879,123.998,4,0.523
16,Yello,Limbo,0Ka7f2P5b8eZBjitGWCPs4,0,False,0.012,0.788,202493,0.717,0.0548,11,0.0867,-10.946,0,0.0727,128.005,4,0.632
17,RJD2,Ghostwriter,5Nn2Dj7OQsGL6pgQ9iIzPp,61,False,0.0107,0.747,317933,0.68,0.803,1,0.0964,-6.187,1,0.0346,93.804,4,0.594
18,RJD2,A Beautiful Mine (Theme Music from Mad Men),4bxbSJqs4H4HcMPVhLprfJ,0,True,0.294,0.62,329093,0.666,0.907,1,0.18,-11.865,1,0.11,114.216,4,0.0367
19,RJD2,See You Leave,6gifrVamdnrYxkXPV6ul0k,52,True,0.0437,0.769,299320,0.613,0.00286,1,0.0508,-6.059,0,0.205,81.96,4,0.502
20,RJD2,Smoke & Mirrors,2C1nOw1nRxJaBWb9I1x05A,52,False,0.11,0.587,266200,0.523,0.765,9,0.107,-9.947,1,0.0288,95.004,4,0.0457
21,RJD2,1976,09aNhXGvfo8wAhUxcsDFlZ,48,False,0.101,0.745,147280,0.808,0.526,9,0.118,-6.055,1,0.0442,103.011,4,0.935
