iter	MultiClass
0	1.920829239
1	1.898468161
2	1.876717396
3	1.856655164
4	1.837238633
5	1.81885013
6	1.801855631
7	1.785491821
8	1.76994831
9	1.754928001
10	1.741120693
11	1.72762484
12	1.715411008
13	1.703431538
14	1.692379776
15	1.681505249
16	1.671316556
17	1.661383823
18	1.651811226
19	1.642667718
20	1.634099822
21	1.625719033
22	1.617925489
23	1.610302388
24	1.602883199
25	1.595766399
26	1.588910429
27	1.582458841
28	1.576152477
29	1.570156515
30	1.56431027
31	1.558742866
32	1.553351982
33	1.548410032
34	1.543553491
35	1.539044714
36	1.534426206
37	1.530114226
38	1.52595619
39	1.521750614
40	1.517850186
41	1.514284569
42	1.510482552
43	1.507039979
44	1.503631398
45	1.500185919
46	1.496972218
47	1.493905769
48	1.491027095
49	1.488030704
50	1.485282067
51	1.482768887
52	1.480095952
53	1.477632746
54	1.475305558
55	1.472897297
56	1.470546835
57	1.468274579
58	1.466096307
59	1.463951124
60	1.461986058
61	1.460024719
62	1.458164706
63	1.456127599
64	1.454518171
65	1.452795585
66	1.451164888
67	1.449593302
68	1.447975777
69	1.446549207
70	1.445076509
71	1.443690888
72	1.442288481
73	1.440901659
74	1.439611733
75	1.438228161
76	1.437006069
77	1.435741814
78	1.434478465
79	1.433342251
80	1.432211495
81	1.431132019
82	1.430103725
83	1.429091664
84	1.428128185
85	1.427169991
86	1.426227958
87	1.425303638
88	1.42427311
89	1.423406505
90	1.422557284
91	1.42180512
92	1.420964104
93	1.420264988
94	1.419441851
95	1.418567896
96	1.417800701
97	1.417071562
98	1.416420189
99	1.415769181
100	1.415083563
101	1.414355444
102	1.413632146
103	1.412951961
104	1.412258216
105	1.411747792
106	1.411216443
107	1.410574461
108	1.409962767
109	1.409373621
110	1.40887161
111	1.408280703
112	1.407714601
113	1.407266001
114	1.406766032
115	1.406324935
116	1.405799181
117	1.405399961
118	1.40509856
119	1.404612815
120	1.404180612
121	1.403777135
122	1.403245528
123	1.402811272
124	1.402408879
125	1.401979263
126	1.401431341
127	1.401050285
128	1.400608646
129	1.400320977
130	1.399904853
131	1.399593174
132	1.399200445
133	1.398742049
134	1.398395937
135	1.398115345
136	1.39778644
137	1.397365059
138	1.396927159
139	1.396570686
140	1.396142046
141	1.395842264
142	1.395515516
143	1.395178774
144	1.394851269
145	1.394610786
146	1.394314615
147	1.393996287
148	1.393793932
149	1.393549145
150	1.393170884
151	1.392939272
152	1.392722751
153	1.392374075
154	1.392145125
155	1.391885561
156	1.391633027
157	1.391381109
158	1.391131333
159	1.390867164
160	1.390501036
161	1.390189628
162	1.389875116
163	1.389663935
164	1.389340019
165	1.38914251
166	1.388916065
167	1.388711784
168	1.388455632
169	1.38821116
170	1.38791165
171	1.387727642
172	1.387489669
173	1.387175592
174	1.386847175
175	1.386656876
176	1.386503183
177	1.386306184
178	1.386033935
179	1.38582345
180	1.385600343
181	1.385379677
182	1.385190181
183	1.384992494
184	1.384822015
185	1.384613897
186	1.384421875
187	1.384197779
188	1.38407741
189	1.383845582
190	1.3835338
191	1.383303989
192	1.383150967
193	1.382964174
194	1.382782222
195	1.382630284
196	1.382395886
197	1.382184818
198	1.382035073
199	1.381842977
200	1.381632553
201	1.38139745
202	1.381207199
203	1.381010521
204	1.380782802
205	1.380619182
206	1.380453216
207	1.380283425
208	1.380093773
209	1.37992971
210	1.379779503
211	1.379625589
212	1.379423613
213	1.379212973
214	1.379080185
215	1.378825455
216	1.378699622
217	1.378487571
218	1.378276402
219	1.378170514
220	1.378008365
221	1.377831679
222	1.377592512
223	1.377412841
224	1.377271627
225	1.377063591
226	1.376852117
227	1.376696423
228	1.37653058
229	1.376329664
230	1.376125559
231	1.375925035
232	1.375765415
233	1.375562296
234	1.375404722
235	1.375249324
236	1.375097938
237	1.374877823
238	1.374677343
239	1.374525754
240	1.374370863
241	1.374212118
242	1.374014395
243	1.373901253
244	1.3737068
245	1.373542942
246	1.373405315
247	1.373205132
248	1.373044127
249	1.372872328
250	1.372736859
251	1.37253244
252	1.372390482
253	1.372186312
254	1.372056694
255	1.371877542
256	1.371646994
257	1.37145156
258	1.371221455
259	1.371038791
260	1.370916929
261	1.370791557
262	1.370641788
263	1.370493918
264	1.370321915
265	1.370078376
266	1.369959843
267	1.369774332
268	1.369597413
269	1.369486105
270	1.369303421
271	1.369094578
272	1.368879606
273	1.368645351
274	1.368524619
275	1.368298379
276	1.368177499
277	1.368017374
278	1.367857489
279	1.367677892
280	1.367493491
281	1.367362853
282	1.367204625
283	1.367082511
284	1.366926056
285	1.366761541
286	1.366661283
287	1.366531882
288	1.36629406
289	1.366178056
290	1.366012318
291	1.365880626
292	1.365754372
293	1.365663605
294	1.365573926
295	1.36544023
296	1.365318379
297	1.365110248
298	1.364984522
299	1.364868588
300	1.364777185
301	1.364630453
302	1.364460114
303	1.364303825
304	1.364192229
305	1.36403019
306	1.36390921
307	1.363780342
308	1.363550636
309	1.363445101
310	1.363356749
311	1.363190634
312	1.363075611
313	1.362882631
314	1.362740478
315	1.362606727
316	1.362494074
317	1.362381628
318	1.36222896
319	1.362088455
320	1.361966358
321	1.361781913
322	1.361675757
323	1.361522648
324	1.361398456
325	1.361210015
326	1.361106816
327	1.360961698
328	1.360838136
329	1.36071232
330	1.360536533
331	1.36037685
332	1.360255594
333	1.360125109
334	1.360009043
335	1.359911105
336	1.359783755
337	1.35963102
338	1.35954022
339	1.359414516
340	1.359272948
341	1.35918157
342	1.359070716
343	1.35897939
344	1.358862054
345	1.358685114
346	1.358572959
347	1.358431959
348	1.358326734
349	1.358193058
350	1.358037693
351	1.357909036
352	1.357757806
353	1.357666397
354	1.357518543
355	1.357408613
356	1.357279106
357	1.357107998
358	1.356971796
359	1.356862656
360	1.356757099
361	1.356670374
362	1.356547508
363	1.356413575
364	1.356271154
365	1.356183556
366	1.356017265
367	1.355926278
368	1.355844526
369	1.355768988
370	1.355661689
371	1.355566538
372	1.355478524
373	1.355377524
374	1.355253366
375	1.355160868
376	1.35499712
377	1.354834956
378	1.354677766
379	1.354563952
380	1.354442503
381	1.354305803
382	1.354208127
383	1.354085655
384	1.353932671
385	1.353815624
386	1.353726898
387	1.353625316
388	1.35350882
389	1.353379818
390	1.353295741
391	1.353207385
392	1.353084849
393	1.352950243
394	1.352757825
395	1.352669686
396	1.352541799
397	1.352411446
398	1.352253634
399	1.352121208
400	1.351999867
401	1.3518559
402	1.351663193
403	1.351552522
404	1.351426238
405	1.351248006
406	1.351139213
407	1.351011446
408	1.35087801
409	1.350799775
410	1.350695781
411	1.350582166
412	1.350445909
413	1.350249555
414	1.350134253
415	1.349996267
416	1.349897877
417	1.349782862
418	1.349682129
419	1.349563681
420	1.34939063
421	1.349283418
422	1.349148835
423	1.348988102
424	1.348898927
425	1.348789355
426	1.348712926
427	1.348475247
428	1.348311895
429	1.348188293
430	1.348037508
431	1.347860048
432	1.34769818
433	1.347588178
434	1.347499269
435	1.347377639
436	1.347280077
437	1.347179067
438	1.347044527
439	1.346906211
440	1.346812054
441	1.346732638
442	1.346571907
443	1.346485142
444	1.346415558
445	1.346336383
446	1.346229462
447	1.346156221
448	1.346003592
449	1.345894479
450	1.34577031
451	1.345651708
452	1.345552719
453	1.345471041
454	1.345364587
455	1.345191599
456	1.345064789
457	1.344949063
458	1.344826905
459	1.3447184
460	1.344612262
461	1.344496581
462	1.344397797
463	1.344291669
464	1.344213615
465	1.344093255
466	1.343991998
467	1.343908885
468	1.343812198
469	1.343721023
470	1.343596055
471	1.343434467
472	1.343330441
473	1.343240254
474	1.343141829
475	1.343022225
476	1.342889403
477	1.342751746
478	1.342665419
479	1.342486489
480	1.342428284
481	1.342331049
482	1.34221717
483	1.342098778
484	1.341939155
485	1.34180332
486	1.341726022
487	1.341600165
488	1.34147355
489	1.34134676
490	1.341250946
491	1.341111328
492	1.341024911
493	1.340893243
494	1.340775659
495	1.340623169
496	1.340492257
497	1.340355849
498	1.340222948
499	1.34008927
500	1.340005285
501	1.339894968
502	1.339775768
503	1.339689681
504	1.339589442
505	1.339451924
506	1.33934925
507	1.33926637
508	1.33914172
509	1.338992554
510	1.338928824
511	1.338764277
512	1.338671404
513	1.338547636
514	1.338442154
515	1.338367852
516	1.338283322
517	1.338148164
518	1.338028312
519	1.337895895
520	1.337779108
521	1.337596077
522	1.33750228
523	1.337371567
524	1.337277739
525	1.337179839
526	1.337046386
527	1.336960165
528	1.336888501
529	1.336755362
530	1.336652158
531	1.336570537
532	1.336489173
533	1.33639307
534	1.33625479
535	1.336138853
536	1.336020397
537	1.335853121
538	1.335767289
539	1.335623368
540	1.335492715
541	1.335379928
542	1.335277141
543	1.335191357
544	1.335056467
545	1.334966648
546	1.334838655
547	1.334735991
548	1.334627502
549	1.334498868
550	1.33441378
551	1.334322806
552	1.334240657
553	1.334154702
554	1.33401921
555	1.3339341
556	1.333809357
557	1.333720999
558	1.333665434
559	1.333522538
560	1.333413873
561	1.333273655
