iter	Passed	Remaining
0	90	90301
1	103	51463
2	123	41008
3	142	35570
4	164	32699
5	182	30288
6	199	28309
7	215	26748
8	231	25460
9	250	24778
10	266	23955
11	282	23261
12	306	23268
13	325	22902
14	341	22400
15	358	22044
16	374	21640
17	389	21242
18	404	20904
19	421	20671
20	438	20456
21	454	20189
22	470	19971
23	487	19807
24	504	19682
25	530	19874
26	547	19720
27	565	19619
28	581	19453
29	597	19309
30	613	19175
31	630	19071
32	646	18955
33	662	18813
34	678	18699
35	695	18623
36	716	18653
37	736	18644
38	753	18572
39	768	18451
40	784	18342
41	802	18301
42	818	18221
43	835	18154
44	850	18050
45	867	17988
46	885	17951
47	901	17880
48	916	17783
49	940	17871
50	958	17830
51	975	17779
52	995	17787
53	1019	17857
54	1042	17910
55	1063	17932
56	1083	17932
57	1114	18099
58	1156	18445
59	1184	18557
60	1214	18695
61	1241	18778
62	1267	18849
63	1296	18963
64	1322	19023
65	1338	18937
66	1354	18862
67	1381	18936
68	1397	18858
69	1413	18776
70	1428	18687
71	1443	18611
72	1458	18526
73	1474	18449
74	1489	18375
75	1505	18301
76	1524	18270
77	1539	18201
78	1555	18138
79	1572	18080
80	1591	18058
81	1612	18048
82	1626	17974
83	1642	17906
84	1657	17843
85	1673	17784
86	1689	17732
87	1705	17672
88	1721	17620
89	1737	17568
90	1753	17511
91	1769	17460
92	1785	17412
93	1806	17411
94	1827	17412
95	1855	17473
96	1885	17549
97	1911	17594
98	1942	17675
99	1970	17737
100	2000	17810
101	2027	17853
102	2053	17883
103	2079	17919
104	2096	17868
105	2112	17814
106	2134	17813
107	2156	17808
108	2177	17799
109	2193	17745
110	2207	17683
111	2224	17634
112	2249	17659
113	2268	17631
114	2283	17570
115	2298	17513
116	2319	17503
117	2337	17472
118	2352	17419
119	2369	17372
120	2383	17315
121	2398	17258
122	2413	17209
123	2428	17159
124	2444	17112
125	2466	17105
126	2483	17072
127	2499	17029
128	2515	16987
129	2530	16936
130	2546	16890
131	2562	16847
132	2578	16806
133	2593	16762
134	2614	16750
135	2635	16745
136	2658	16746
137	2685	16774
138	2704	16753
139	2722	16725
140	2741	16699
141	2760	16681
142	2779	16660
143	2802	16658
144	2821	16637
145	2839	16608
146	2863	16617
147	2889	16635
148	2914	16644
149	2930	16604
150	2945	16560
151	2960	16514
152	2974	16469
153	2990	16428
154	3007	16393
155	3027	16381
156	3053	16395
157	3079	16409
158	3104	16419
159	3129	16430
160	3155	16444
161	3181	16457
162	3207	16470
163	3234	16486
164	3260	16498
165	3288	16522
166	3316	16543
167	3342	16555
168	3369	16568
169	3396	16582
170	3422	16591
171	3446	16592
172	3470	16588
173	3496	16596
174	3523	16612
175	3548	16613
176	3572	16610
177	3599	16620
178	3618	16595
179	3640	16582
180	3656	16545
181	3678	16530
182	3693	16490
183	3709	16450
184	3726	16415
185	3748	16405
186	3766	16374
187	3785	16351
